Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
68.1,141.4,0,0,0,0,0,0,0,0,321988,0,0,0
68.1,149.9,0,0,0,0,0,160994,0,0,0,0,0,0
68.1,150.1,0,0,0,0,0,1931928,0,0,0,0,0,0
68.1,153.4,0,0,0,0,0,5259137,38745890,0,0,0,0,0
68.1,153.6,0,0,0,0,0,27261652,92303230,0,0,0,0,0
68.1,153.9,0,0,0,0,0,84682850,31930476,0,0,0,0,0
68.1,154.1,0,0,0,0,0,2897892,268323,0,0,0,0,0
67.9,-142.4,0,0,0,0,0,0,321988,53664,0,0,0,0
67.9,-142.1,0,0,0,0,0,0,2683233,268323,0,0,0,0
67.9,-51.6,0,0,0,0,2844227,643976,0,0,0,0,0,0
67.9,21.1,0,0,0,0,0,1287952,0,0,0,0,0,0
67.9,123.1,0,0,0,0,0,0,3702862,15938406,0,0,0,0
67.9,130.4,0,0,0,0,53664,1019628,0,0,0,0,0,0
67.9,130.6,0,0,0,0,24149100,16904370,0,0,0,0,0,0
67.9,130.9,0,0,0,0,26564010,7781376,0,0,0,0,0,0
67.9,131.4,0,0,0,0,0,0,1073293,0,0,0,0,0
67.9,131.6,0,0,0,0,6708083,53664,0,0,0,0,0,0
67.9,132.6,0,0,0,0,0,0,697640,6547089,0,0,0,0
67.9,132.9,0,0,0,0,0,0,16475053,62143684,0,0,0,0
67.9,133.1,0,0,0,0,0,0,7030071,49103172,0,0,0,0
67.9,133.4,0,0,0,0,16689711,0,8586346,8210694,53664,0,0,0
67.9,133.6,0,0,0,0,3541868,0,4615161,5259137,0,0,0,0
67.9,134.4,0,0,0,0,0,24310094,11591568,11376909,0,0,0,0
67.9,134.6,0,0,0,1019628,5527460,88171050,16958036,8264358,0,0,0,0
67.9,134.9,0,0,0,214658,2361245,39550860,53664,0,0,0,0,0
67.9,135.1,0,0,0,0,0,53664,3005221,19426608,482982,0,0,0
67.9,135.4,0,0,0,0,0,321988,49639816,30964512,0,0,0,0
67.9,135.6,0,0,0,0,12235544,19641268,1287952,214658,0,0,0,0
67.9,135.9,0,0,0,0,26885998,34935700,5259137,14113807,0,0,0,0
67.9,136.1,0,0,0,0,0,43039064,18514310,5634790,268323,0,0,0
67.9,136.4,0,0,0,0,0,107329,33164764,19802262,0,0,0,0
67.9,136.6,0,0,0,0,0,0,10410945,8532682,0,0,0,0
67.9,136.9,0,0,0,0,0,0,9927963,8854670,0,0,0,0
67.9,137.1,0,0,0,0,0,0,11376909,697640,0,0,0,0
67.9,139.4,0,0,0,0,0,1878263,0,0,0,0,0,0
67.9,139.9,0,0,0,0,0,3273544,0,0,0,0,0,0
67.9,142.9,0,0,0,0,0,321988,858634,0,0,0,0,0
67.9,143.1,0,0,0,0,0,32789112,24578418,0,0,0,0,0
67.9,143.4,0,0,0,0,0,73627920,20285244,0,0,0,0,0
67.9,143.6,0,0,0,0,0,3541868,8264358,0,0,0,0,0
67.9,144.6,0,0,0,0,0,8532682,17441016,0,0,0,0,0
67.9,144.9,0,0,0,0,0,7727712,18031328,0,0,0,0,0
67.9,148.1,0,0,0,0,0,2146586,0,0,0,0,0,0
67.9,148.6,0,0,0,0,0,14596789,0,0,0,0,0,0
67.9,148.9,0,0,0,0,0,93054536,11698897,0,0,0,0,0
67.9,149.1,0,0,0,0,0,9069328,429317,0,0,0,0,0
67.9,150.1,0,0,0,0,0,429317,0,0,0,0,0,0
67.9,150.4,0,0,0,0,0,3917520,0,0,0,0,0,0
67.9,150.6,0,0,0,0,0,536646,2468574,0,0,0,0,0
67.9,153.1,0,0,0,0,0,53664,107329,0,22753820,0,0,0
67.9,153.4,0,0,0,0,0,697640,20338908,53664,8318023,0,0,0
67.9,153.6,0,0,0,0,0,53664,7137400,0,7674047,0,0,0
67.9,153.9,0,0,0,0,0,0,214658,0,858634,0,0,0
67.9,164.4,0,0,0,0,0,0,2414910,53664,0,0,0,0
67.9,166.9,0,0,0,0,0,10142622,9927963,0,0,0,0,0
67.9,167.1,0,0,0,0,0,4239508,2361245,0,0,0,0,0
67.6,-150.4,0,0,0,0,0,53664,0,0,0,0,0,0
67.6,-150.1,0,0,0,0,107329,1019628,0,0,0,0,0,0
67.6,-140.6,0,0,0,0,0,0,375652,7352059,0,0,0,0
67.6,83.1,0,0,0,0,0,0,0,0,482982,0,0,0
67.6,83.4,0,0,0,0,0,0,0,0,160994,0,0,0
67.6,122.1,0,0,0,0,0,0,214658,27905628,0,0,0,0
67.6,122.4,0,0,0,0,0,0,6654418,45078320,0,0,0,0
67.6,122.6,0,0,0,0,0,0,0,6815412,0,0,0,0
67.6,125.9,0,0,0,0,0,0,321988,6010442,0,0,0,0
67.6,126.1,0,0,0,0,0,0,1019628,1234287,0,0,0,0
67.6,130.6,0,0,0,0,1180622,0,0,214658,4132179,0,0,0
67.6,130.9,0,0,0,0,4937149,697640,11269580,30052214,30105878,0,0,0
67.6,131.1,0,0,0,0,0,0,643976,19855928,12289209,0,0,0
67.6,132.1,0,0,0,0,6493424,0,1341616,0,0,0,0,0
67.6,132.4,0,0,0,0,0,0,53664,0,0,0,0,0
67.6,132.6,0,0,0,0,0,0,3756526,8103364,0,0,0,0
67.6,132.9,0,0,0,0,536646,321988,321988,0,0,0,0,0
67.6,133.1,0,0,0,0,0,40409496,321988,0,1448946,107329,0,0
67.6,133.4,0,0,0,0,0,7727712,12986849,10947592,0,0,0,0
67.6,133.9,0,0,0,375652,2468574,0,0,0,0,0,0,0
67.6,134.1,0,0,0,107329,375652,0,53664,0,0,0,0,0
67.6,134.4,0,0,0,482982,16314059,7513053,2200251,160994,0,0,0,0
67.6,134.6,0,0,0,0,0,16582382,0,0,0,0,0,0
67.6,134.9,0,0,0,0,0,6547089,14811448,20553568,0,0,0,0
67.6,135.1,0,0,0,0,0,482982,71105690,98474664,0,0,0,0
67.6,135.4,0,0,0,0,1234287,50605784,80121350,4829820,0,0,0,0
67.6,135.6,0,0,0,0,23880776,30910848,9122993,0,0,0,0,0
67.6,135.9,0,0,0,0,71588664,80389670,100889576,4561496,0,0,0,0
67.6,136.1,0,0,0,0,37350610,43092730,122623770,11162251,18084992,0,0,0
67.6,136.4,0,0,0,0,0,1770934,87044100,31984142,22753820,0,0,0
67.6,136.6,0,0,0,0,13040514,0,27529974,60372750,12933185,0,0,0
67.6,136.9,0,0,0,0,751305,268323,63914620,16689711,965964,0,0,0
67.6,137.1,0,0,0,0,0,160994,81731290,3005221,0,0,0,0
67.6,137.4,0,0,0,0,0,0,17065364,6278766,107329,0,0,0
67.6,140.4,0,0,0,0,0,36384644,58011504,0,0,0,0,0
67.6,140.6,0,0,0,0,0,14489460,48834850,0,0,0,0,0
67.6,142.6,0,0,0,0,0,6493424,6117772,0,0,0,0,0
67.6,143.1,0,0,0,0,0,858634,8801005,0,0,0,0,0
67.6,143.4,0,0,0,0,0,2200251,34989364,0,0,0,0,0
67.6,144.6,0,0,0,0,0,6654418,22700154,0,0,0,0,0
67.6,144.9,0,0,0,0,0,31179172,84736510,0,0,0,0,0
67.6,145.1,0,0,0,0,0,48405530,40624150,0,0,0,0,0
67.6,145.4,0,0,0,0,0,44649004,11054921,0,0,0,0,0
67.6,146.6,0,0,0,0,0,912299,643976,0,0,0,0,0
67.6,146.9,0,0,0,0,0,8371688,2361245,0,0,0,0,0
67.6,153.4,0,0,0,0,0,3005221,0,0,0,0,0,0
67.6,153.6,0,0,0,0,0,160994,0,0,0,0,0,0
67.6,163.9,0,0,0,0,0,0,0,107329,697640,0,0,0
67.6,164.1,0,0,0,0,0,0,0,10571939,28227616,0,0,0
67.6,165.4,0,0,0,0,0,0,0,26885998,0,0,0,0
67.6,165.6,0,0,0,0,0,0,0,19319280,1931928,0,0,0
